Modelo,Acc. Val.,Acc. Test,F1-macro,Loss
CNN-A,1.0,0.9996666666666667,0.9996666657407381,0.0017469506876853604
CNN-B,1.0,0.9996666666666667,0.9996666657407381,0.0016662243907727922
CNN-C,1.0,0.999,0.9989999944536574,0.006083041249540353
