Clase,Precision,Recall,F1
palm,1.0,0.9966666666666667,0.998330550918197
l,1.0,1.0,1.0
fist,0.9966777408637874,1.0,0.9983361064891847
fist_moved,1.0,1.0,1.0
thumb,1.0,1.0,1.0
index,1.0,1.0,1.0
ok,1.0,1.0,1.0
palm_moved,1.0,1.0,1.0
c,1.0,1.0,1.0
down,1.0,1.0,1.0
Macro avg,0.9996677740863789,0.9996666666666666,0.9996666657407381
